what is the highest point in florida ?	_answer ( A , _highest ( A , ( _place ( A ) , _loc ( A , B ) , _const ( B , _stateid ( florida ) ) ) ) )
what are the high point of state surround mississippi ?	_answer ( A , ( _high_point ( B , A ) , _loc ( A , B ) , _state ( B ) , _next_to ( B , C ) , _const ( C , _stateid ( mississippi ) ) ) )
what state has the shortest river ?	_answer ( A , ( _state ( A ) , _loc ( B , A ) , _shortest ( B , _river ( B ) ) ) )
what is the tallest mountain in the united states ?	_answer ( A , _highest ( A , ( _mountain ( A ) , _loc ( A , B ) , _const ( B , _countryid ( usa ) ) ) ) )
what is the capit of maine ?	_answer ( A , ( _capital ( A ) , _loc ( A , B ) , _const ( B , _stateid ( maine ) ) ) )
what are the popul of state through which the mississippi river run ?	_answer ( A , ( _population ( B , A ) , _state ( B ) , _traverse ( C , B ) , _const ( C , _riverid ( mississippi ) ) , _river ( C ) ) )
name all the lake of us ?	_answer ( A , ( _lake ( A ) , _loc ( A , B ) , _const ( B , _countryid ( usa ) ) ) )
which state border state through which the mississippi traverses ?	_answer ( A , ( _state ( A ) , _next_to ( A , B ) , _state ( B ) , _traverse ( C , B ) , _const ( C , _riverid ( mississippi ) ) ) )
what is the highest mountain in alaska ?	_answer ( A , _highest ( A , ( _mountain ( A ) , _loc ( A , B ) , _const ( B , _stateid ( alaska ) ) ) ) )
what is the popul of illinois ?	_answer ( A , ( _population ( B , A ) , _const ( B , _stateid ( illinois ) ) ) )
name all the river in colorado ?	_answer ( A , ( _river ( A ) , _loc ( A , B ) , _const ( B , _stateid ( colorado ) ) ) )
in which state doe the highest point in usa exist ?	_answer ( A , ( _loc ( B , A ) , _state ( A ) , _highest ( B , ( _place ( B ) , _loc ( B , C ) , _const ( C , _countryid ( usa ) ) ) ) ) )
which state is the city denver locat in ?	_answer ( A , ( _state ( A ) , _loc ( B , A ) , _city ( B ) , _const ( B , _cityid ( denver , _ ) ) ) )
what is the lowest point in texas ?	_answer ( A , _lowest ( A , ( _place ( A ) , _loc ( A , B ) , _const ( B , _stateid ( texas ) ) ) ) )
how mani state have a citi call rochester ?	_answer ( A , _count ( B , ( _state ( B ) , _loc ( C , B ) , _const ( C , _cityid ( rochester , _ ) ) ) , A ) )
which capit are in the state that border texas ?	_answer ( A , ( _capital ( A ) , _loc ( A , B ) , _state ( B ) , _next_to ( B , C ) , _const ( C , _stateid ( texas ) ) ) )
how mani peopl live in austin ?	_answer ( A , ( _population ( B , A ) , _const ( B , _cityid ( austin , _ ) ) ) )
what state have rivers named colorado ?	_answer ( A , ( _state ( A ) , _loc ( B , A ) , _const ( B , _riverid ( colorado ) ) ) )
what is the size of texas ?	_answer ( A , ( _size ( B , A ) , _const ( B , _stateid ( texas ) ) ) )
what is the shortest river in the usa ?	_answer ( A , _shortest ( A , ( _river ( A ) , _loc ( A , B ) , _const ( B , _countryid ( usa ) ) ) ) )
what are the major citi of the us ?	_answer ( A , ( _major ( A ) , _city ( A ) , _loc ( A , B ) , _const ( B , _countryid ( usa ) ) ) )
which state border kentucky ?	_answer ( A , ( _state ( A ) , _next_to ( A , B ) , _const ( B , _stateid ( kentucky ) ) ) )
