what is the highest point in ent0:=:state ?	add_operation:-:_highest add_node:-:A add_type_node:-:_place arg_node:-:A add_node:-:B add_edge:-:_loc arg_node:-:A arg_node:-:B add_entity_node:-:ent0:=:state arg_node:-:B end_operation:-:arg ope_for:-:A return:-:A	ent0:=:state:::florida:=:state
what are the high points of states surrounding ent0:=:state ?	add_node:-:B add_node:-:A add_edge:-:_high_point arg_node:-:B arg_node:-:A add_edge:-:_loc arg_node:-:A arg_node:-:B add_type_node:-:_state arg_node:-:B add_node:-:C add_edge:-:_next_to arg_node:-:B arg_node:-:C add_entity_node:-:ent0:=:state arg_node:-:C return:-:A	ent0:=:state:::mississippi:=:state
what state has the shortest river ?	add_node:-:A add_type_node:-:_state arg_node:-:A add_node:-:B add_edge:-:_loc arg_node:-:B arg_node:-:A add_operation:-:_shortest add_type_node:-:_river arg_node:-:B end_operation:-:arg ope_for:-:B return:-:A	
what is the tallest mountain in ent0:=:country ?	add_operation:-:_highest add_node:-:A add_type_node:-:_mountain arg_node:-:A add_node:-:B add_edge:-:_loc arg_node:-:A arg_node:-:B add_entity_node:-:ent0:=:country arg_node:-:B end_operation:-:arg ope_for:-:A return:-:A	ent0:=:country:::usa:=:country
what is the capital of ent0:=:state ?	add_node:-:A add_type_node:-:_capital arg_node:-:A add_node:-:B add_edge:-:_loc arg_node:-:A arg_node:-:B add_entity_node:-:ent0:=:state arg_node:-:B return:-:A	ent0:=:state:::maine:=:state
what are the populations of states through which ent0:=:river run ?	add_node:-:B add_node:-:A add_edge:-:_population arg_node:-:B arg_node:-:A add_type_node:-:_state arg_node:-:B add_node:-:C add_edge:-:_traverse arg_node:-:C arg_node:-:B add_entity_node:-:ent0:=:river arg_node:-:C add_type_node:-:_river arg_node:-:C return:-:A	ent0:=:river:::mississippi:=:river
name all the lakes of ent0:=:country ?	add_node:-:A add_type_node:-:_lake arg_node:-:A add_node:-:B add_edge:-:_loc arg_node:-:A arg_node:-:B add_entity_node:-:ent0:=:country arg_node:-:B return:-:A	ent0:=:country:::usa:=:country
which states border states through which ent0:=:river traverses ?	add_node:-:A add_type_node:-:_state arg_node:-:A add_node:-:B add_edge:-:_next_to arg_node:-:A arg_node:-:B add_type_node:-:_state arg_node:-:B add_node:-:C add_edge:-:_traverse arg_node:-:C arg_node:-:B add_entity_node:-:ent0:=:river arg_node:-:C return:-:A	ent0:=:river:::mississippi:=:river
what is the highest mountain in ent0:=:state ?	add_operation:-:_highest add_node:-:A add_type_node:-:_mountain arg_node:-:A add_node:-:B add_edge:-:_loc arg_node:-:A arg_node:-:B add_entity_node:-:ent0:=:state arg_node:-:B end_operation:-:arg ope_for:-:A return:-:A	ent0:=:state:::alaska:=:state
what is the population of ent0:=:state ?	add_node:-:B add_node:-:A add_edge:-:_population arg_node:-:B arg_node:-:A add_entity_node:-:ent0:=:state arg_node:-:B return:-:A	ent0:=:state:::illinois:=:state
name all the rivers in ent0:=:state ?	add_node:-:A add_type_node:-:_river arg_node:-:A add_node:-:B add_edge:-:_loc arg_node:-:A arg_node:-:B add_entity_node:-:ent0:=:state arg_node:-:B return:-:A	ent0:=:state:::colorado:=:state
in which state does the highest point in ent0:=:country exist ?	add_node:-:B add_node:-:A add_edge:-:_loc arg_node:-:B arg_node:-:A add_type_node:-:_state arg_node:-:A add_operation:-:_highest add_type_node:-:_place arg_node:-:B add_node:-:C add_edge:-:_loc arg_node:-:B arg_node:-:C add_entity_node:-:ent0:=:country arg_node:-:C end_operation:-:arg ope_for:-:B return:-:A	ent0:=:country:::usa:=:country
which state is ent0:=:city located in ?	add_node:-:A add_type_node:-:_state arg_node:-:A add_node:-:B add_edge:-:_loc arg_node:-:B arg_node:-:A add_type_node:-:_city arg_node:-:B add_entity_node:-:ent0:=:city arg_node:-:B return:-:A	ent0:=:city:::denver:=:city
what is the lowest point in ent0:=:state ?	add_operation:-:_lowest add_node:-:A add_type_node:-:_place arg_node:-:A add_node:-:B add_edge:-:_loc arg_node:-:A arg_node:-:B add_entity_node:-:ent0:=:state arg_node:-:B end_operation:-:arg ope_for:-:A return:-:A	ent0:=:state:::texas:=:state
how many states have a city called ent0:=:city ?	add_operation:-:_count add_node:-:B add_type_node:-:_state arg_node:-:B add_node:-:C add_edge:-:_loc arg_node:-:C arg_node:-:B add_entity_node:-:ent0:=:city arg_node:-:C end_operation:-:_count ope_for:-:B ope_return:-:A return:-:A	ent0:=:city:::rochester:=:city
which capitals are in the states that border ent0:=:state ?	add_node:-:A add_type_node:-:_capital arg_node:-:A add_node:-:B add_edge:-:_loc arg_node:-:A arg_node:-:B add_type_node:-:_state arg_node:-:B add_node:-:C add_edge:-:_next_to arg_node:-:B arg_node:-:C add_entity_node:-:ent0:=:state arg_node:-:C return:-:A	ent0:=:state:::texas:=:state
how many people live in ent0:=:city ?	add_node:-:B add_node:-:A add_edge:-:_population arg_node:-:B arg_node:-:A add_entity_node:-:ent0:=:city arg_node:-:B return:-:A	ent0:=:city:::austin:=:city
what states have rivers named ent0:=:river ?	add_node:-:A add_type_node:-:_state arg_node:-:A add_node:-:B add_edge:-:_loc arg_node:-:B arg_node:-:A add_entity_node:-:ent0:=:river arg_node:-:B return:-:A	ent0:=:river:::colorado:=:river
what is the size of ent0:=:state ?	add_node:-:B add_node:-:A add_edge:-:_size arg_node:-:B arg_node:-:A add_entity_node:-:ent0:=:state arg_node:-:B return:-:A	ent0:=:state:::texas:=:state
